Input voltage @ V,Load @ A,Input current @ A,Output voltage @ V,Coil temperature after 5 minutes @ °C,Chip temperature after 5 minutes @ °C,Scope image,Noise - Vpp @ mV
14,"0.1","0.03","3.321",25,23,v0.1-3V3-1.png,40
14,"0.5","0.13","3.317",29,28,v0.1-3V3-2.png,40
14,1,"0.26","3.316",32,30,v0.1-3V3-3.png,30
14,2,"0.51","3.317",39,36,v0.1-3V3-4.png,70
14,3,"0.79","3.291",60,48,v0.1-3V3-5.png,100
14,4,"1.01","3.016",91,80,v0.1-3V3-6.png,90
"7.4","0.1","0.05","3.32",24,23,v0.1-3V3-7.png,40
"7.4","0.5","0.24","3.32",28,27,v0.1-3V3-8.png,50
"7.4",1,"0.47","3.31",30,29,v0.1-3V3-9.png,50
"7.4",2,"0.96","3.32",37,33,v0.1-3V3-10.png,70
"7.4",3,"1.49","3.32",52,43,v0.1-3V3-11.png,90
"7.4",4,"1.96","3.156",77,62,v0.1-3V3-12.png,90
"4.2","0.1","0.08","3.312",25,25,v0.1-3V3-13.png,40
"4.2","0.5","0.4","3.31",26,26,v0.1-3V3-14.png,30
"4.2",1,"0.81","3.315",27,26,v0.1-3V3-15.png,30
"4.2",2,"1.69","3.323",34,29,v0.1-3V3-16.png,50
"4.2",3,"2.67","3.332",51,41,v0.1-3V3-17.png,70
"4.2",4,"3.56","3.13",78,66,v0.1-3V3-18.png,70
